,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.25491674592531055,2020-07-10 14:01:04.456428,2020-07-10 14:06:47.252220,0 days 00:05:42.795792000,0.7382457753392395,0.28376083474848074,COMPLETE
1,1,-0.25491674592531055,2020-07-10 14:06:47.252895,2020-07-10 14:11:42.736051,0 days 00:04:55.483156000,0.9729840798945137,0.35896650670111085,COMPLETE
2,2,-0.25491674592531055,2020-07-10 14:11:42.736590,2020-07-10 14:16:29.457901,0 days 00:04:46.721311000,0.5053264061041762,0.44826521619731097,COMPLETE
3,3,-0.25491674592531055,2020-07-10 14:16:29.458415,2020-07-10 14:21:23.987831,0 days 00:04:54.529416000,0.8792335659522559,0.25204495546481037,COMPLETE
4,4,-0.25491674592531055,2020-07-10 14:21:23.988348,2020-07-10 14:26:11.345009,0 days 00:04:47.356661000,0.5517913166651102,0.3000333910552201,COMPLETE
5,5,-0.25491674592531055,2020-07-10 14:26:11.345512,2020-07-10 14:30:58.938721,0 days 00:04:47.593209000,0.7285392452801862,0.4404958557576484,COMPLETE
6,6,-0.25491674592531055,2020-07-10 14:30:58.939382,2020-07-10 14:35:50.766880,0 days 00:04:51.827498000,0.7876429344890487,0.22786210142993374,COMPLETE
7,7,-0.25491674592531055,2020-07-10 14:35:50.767416,2020-07-10 14:40:31.886518,0 days 00:04:41.119102000,0.280128365227029,0.2306365415210217,COMPLETE
8,8,-0.25491674592531055,2020-07-10 14:40:31.887021,2020-07-10 14:45:21.748015,0 days 00:04:49.860994000,0.6522801367809965,0.20684845167919974,COMPLETE
9,9,-0.25491674592531055,2020-07-10 14:45:21.748523,2020-07-10 14:50:04.386826,0 days 00:04:42.638303000,0.17062794058461317,0.10631263963188986,COMPLETE
10,10,-0.25491674592531055,2020-07-10 14:50:04.387352,2020-07-10 14:54:51.013813,0 days 00:04:46.626461000,0.3543200126968552,0.033169093739207345,COMPLETE
11,11,-0.25491674592531055,2020-07-10 14:54:51.014353,2020-07-10 14:59:44.854932,0 days 00:04:53.840579000,0.9983217518904873,0.3583238532334231,COMPLETE
12,12,-0.25491674592531055,2020-07-10 14:59:44.855487,2020-07-10 15:04:37.431768,0 days 00:04:52.576281000,0.8859449920283602,0.36307899788650044,COMPLETE
13,13,-0.25491674592531055,2020-07-10 15:04:37.432331,2020-07-10 15:09:31.919041,0 days 00:04:54.486710000,0.9744356487235316,0.3493988299247385,COMPLETE
14,14,-0.25491674592531055,2020-07-10 15:09:31.919582,2020-07-10 15:14:21.966873,0 days 00:04:50.047291000,0.6313591308105482,0.12968613202257134,COMPLETE
15,15,-0.25491674592531055,2020-07-10 15:14:21.967423,2020-07-10 15:19:09.656204,0 days 00:04:47.688781000,0.8288407107932159,0.4107344004161981,COMPLETE
16,16,-0.25491674592531055,2020-07-10 15:19:09.656720,2020-07-10 15:23:59.832386,0 days 00:04:50.175666000,0.9969929521284722,0.4978039138951983,COMPLETE
17,17,-0.25491674592531055,2020-07-10 15:23:59.832898,2020-07-10 15:28:49.433088,0 days 00:04:49.600190000,0.6412296836692306,0.12506372292666013,COMPLETE
18,18,-0.25491674592531055,2020-07-10 15:28:49.433597,2020-07-10 15:33:37.180170,0 days 00:04:47.746573000,0.8024058540116246,0.4239552378928505,COMPLETE
19,19,-0.25491674592531055,2020-07-10 15:33:37.180719,2020-07-10 15:38:19.644900,0 days 00:04:42.464181000,0.4109033072003674,0.49217289577847056,COMPLETE
